全称,简写,中文名称,地区代码,地区代码取值位数,登记机关代码
Gibraltar,gi,直布罗陀,18020105020100000000000000000000,10,1223793004
Greenland,gl,格林兰岛,18021501000000000000000000000000,10,1223793006
Guadeloupe,gp,法属瓜德罗普,18020302000000000000000000000000,10,1223793007
Greece,gr,希腊,18021900000000000000000000000000,10,1223793005
Hong Kong,hk,香港特别行政区,18010302000000000000000000000000,10,1222502486
Croatia,hr,克罗地亚,18024300000000000000000000000000,10,1223792997
Ireland,ie,爱尔兰,18022100000000000000000000000000,14,1223792957
Israel,il,以色列,18011000000000000000000000000000,10,1223793012
Isle of Man,im,马恩岛,18020105010300000000000000000000,10,1223793011
India,in,印度,18011100000000000000000000000000,14,1223792953
Iran,ir,伊朗,18012400000000000000000000000000,10,1223793010
Iceland,is,冰岛,18022200000000000000000000000000,10,1223793009
Jersey,je,泽西岛,18020105010200000000000000000000,10,1223793014
Jamaica,jm,牙买加,18041400000000000000000000000000,10,1223793013
Japan,jp,日本,18010200000000000000000000000000,18,1222502540
Cambodia,kh,柬埔寨,18013600000000000000000000000000,10,1223792996
Liechtenstein,li,列支敦士登,18024600000000000000000000000000,10,1223793016
Luxembourg,lu,卢森堡,18020500000000000000000000000000,12,1222502551
Latvia,lv,拉脱维亚,18022400000000000000000000000000,10,1223793015
Moldova,md,摩尔多瓦,18022600000000000000000000000000,10,1223793022
Montenegro,me,黑山共和国,18022700000000000000000000000000,10,1223793023
Saint Martin,mf,法属圣马丁,18020307000000000000000000000000,10,1223793040
Myanmar,mm,缅甸,18014000000000000000000000000000,10,1223793024
Martinique,mq,法属马提尼克岛,18020303000000000000000000000000,10,1223793018
Malta,mt,马耳他,18022800000000000000000000000000,10,1222502565
Mauritius,mu,毛里求斯,18032100000000000000000000000000,10,1223793019
Mexico,mx,墨西哥,18040800000000000000000000000000,10,1223793021
Malaysia,my,马来西亚,18011700000000000000000000000000,10,1223793017
Netherlands,nl,荷兰,18022900000000000000000000000000,10,1223792958
Norway,no,挪威,18023000000000000000000000000000,10,1223793028
New Zealand,nz,新西兰,18060200000000000000000000000000,10,1223793026
Panama,pa,巴拿马,18041000000000000000000000000000,10,1223793031
Pakistan,pk,巴基斯坦,18010600000000000000000000000000,10,1223793030
Poland,pl,波兰,18023100000000000000000000000000,10,1223793032
Saint Pierre and Miquelon,pm,法属圣皮埃尔和密克隆,18020308000000000000000000000000,10,1223793041
Puerto Rico,pr,波多黎各,18040153000000000000000000000000,10,1222502485
Réunion,re,法属留尼汪省,18020309000000000000000000000000,10,1223793038
Romania,ro,罗马尼亚,18023300000000000000000000000000,10,1223793036
Rwanda,rw,卢旺达,18032200000000000000000000000000,10,1223793037
Sweden,se,瑞典,18023600000000000000000000000000,11,1222502559
Singapore,sg,新加坡,18010100000000000000000000000000,10,
Slovenia,si,斯洛文尼亚,18023700000000000000000000000000,10,1223792961
Slovakia,sk,斯洛伐克,18023800000000000000000000000000,10,1223792960
Thailand,th,泰国,18012000000000000000000000000000,10,1223793046
Tajikistan,tj,塔吉克斯坦,18012100000000000000000000000000,10,1223793044
Tunisia,tn,突尼斯,18030700000000000000000000000000,10,1223793048
Tonga,to,汤加,18060300000000000000000000000000,10,1223793047
Tanzania,tz,坦桑尼亚,18031600000000000000000000000000,10,1223793045
Ukraine,ua,乌克兰,18024100000000000000000000000000,10,1223793050
Uganda,ug,乌干达,18031200000000000000000000000000,10,1223793049
Alaska,us_ak,阿拉斯加州,18040106000000000000000000000000,14,1222502481
Alabama,us_al,阿拉巴马州,18040112000000000000000000000000,14,1222502555
Arkansas,us_ar,阿肯色州,18040111000000000000000000000000,14,1223792933
Arizona,us_az,亚利桑那州,18040101000000000000000000000000,14,1223792945
California,us_ca,加利福尼亚,18040110000000000000000000000000,14,1222502489
Colorado,us_co,科罗拉多州,18040102000000000000000000000000,14,1223792941
Connecticut,us_ct,康涅狄格州,18040108000000000000000000000000,14,1223792930
District of Columbia,us_dc,哥伦比亚,18050400000000000000000000000000,14,1223792939
Delaware,us_de,特拉华州,18040104000000000000000000000000,14,1222502470
Florida,us_fl,佛罗里达州,18040105000000000000000000000000,14,1222502557
Georgia,us_ga,乔治亚州,18040103000000000000000000000000,14,1222502546
Hawaii,us_hi,夏威夷州,18040107000000000000000000000000,14,1223792931
Iowa,us_ia,爱荷华州,18040115000000000000000000000000,14,1223792932
Idaho,us_id,爱达荷州,18040113000000000000000000000000,14,1222502541
Indiana,us_in,印第安纳州,18040122000000000000000000000000,14,1223792937
Kansas,us_ks,堪萨斯州,18040117000000000000000000000000,14,1222502545
Kentucky,us_ky,肯塔基州,18040119000000000000000000000000,14,1222502487
Louisiana,us_la,路易斯安那州,18040124000000000000000000000000,14,1223792922
Massachusetts,us_ma,马萨诸塞州,18040121000000000000000000000000,14,1223792949
Maryland,us_md,马里兰州,18040123000000000000000000000000,14,1222502476
Maine,us_me,缅因州,18040125000000000000000000000000,14,1222502480
Michigan,us_mi,密歇根州,18040116000000000000000000000000,14,1223792946
Minnesota,us_mn,明尼苏达州,18040118000000000000000000000000,14,1222502542
Missouri,us_mo,密苏里州,18040135000000000000000000000000,14,1222502556
Mississippi,us_ms,密西西比州,18040114000000000000000000000000,14,1222502543
Montana,us_mt,蒙大拿州,18040132000000000000000000000000,14,1222502471
North Carolina,us_nc,北卡罗来纳州,18040131000000000000000000000000,14,1222502550
North Dakota,us_nd,北达科他州,18040126000000000000000000000000,14,1223792947
Nebraska,us_ne,内布拉斯加州,18040129000000000000000000000000,14,1223792942
New Hampshire,us_nh,新罕布什尔州,18040133000000000000000000000000,14,1222502473
New Jersey,us_nj,新泽西州,18040127000000000000000000000000,14,1222502477
New Mexico,us_nm,新墨西哥州,18040134000000000000000000000000,14,1223792940
Nevada,us_nv,内华达州,18040138000000000000000000000000,14,1222502479
New York,us_ny,纽约州,18040136000000000000000000000000,14,1223792948
Ohio,us_oh,俄亥俄州,18040137000000000000000000000000,14,1223792952
Oklahoma,us_ok,俄克拉荷马州,18040128000000000000000000000000,14,1222502478
Oregon,us_or,俄勒冈州,18040130000000000000000000000000,14,1223792944
Pennsylvania,us_pa,宾夕法尼亚,18040142000000000000000000000000,14,1222502552
Rhode Island,us_ri,罗德岛州,18040147000000000000000000000000,14,1222502554
South Carolina,us_sc,南卡罗来纳州,18040150000000000000000000000000,14,1223792923
South Dakota,us_sd,南达科他州,18040140000000000000000000000000,14,1222502475
Tennessee,us_tn,田纳西州,18040148000000000000000000000000,14,1222502484
Texas,us_tx,德克萨斯州,18040151000000000000000000000000,14,1223792938
Utah,us_ut,犹他州,18040145000000000000000000000000,14,1222502544
Virginia,us_va,弗吉尼亚州,18040146000000000000000000000000,14,1223792934
Vermont,us_vt,佛蒙特州,18040139000000000000000000000000,14,1223792936
Washington,us_wa,华盛顿州,18040143000000000000000000000000,14,1222502472
Wisconsin,us_wi,威斯康星州,18040141000000000000000000000000,14,1223792935
West Virginia,us_wv,西弗吉尼亚州,18040149000000000000000000000000,14,1222502553
Wyoming,us_wy,怀俄明州,18040144000000000000000000000000,14,1222502474
Viet Nam,vn,越南,18010400000000000000000000000000,12,1223792951
Vanuatu,vu,瓦努阿图,18060400000000000000000000000000,10,1223793051
Mayotte,yt,法属马约特,18020304000000000000000000000000,10,1223793020
South Africa,za,南非,18030100000000000000000000000000,16,1223792950
Italy,,意大利,18020400000000000000000000000000,13,1222502483
Tai Wan,,台湾地区,18010301000000000000000000000000,12,
